,country,alpha3,year,continent,All categories,Biological,Earthquake,Flood,Hurricane & Tornado,Industrial,Meteor,Societal,Transportation,Wildfire
0,Afghanistan,AFG,2011,Asia,1.0,,,,1.0,,,,,
1,Afghanistan,AFG,2013,Asia,1.0,,1.0,,,,,,,
2,Algeria,DZA,2014,Africa,2.0,1.0,,,,,,,,1.0
3,Algeria,DZA,2017,Africa,5.0,,2.0,,3.0,,,,,
4,Angola,AGO,2012,Africa,1.0,,1.0,,,,,,,
5,Angola,AGO,2013,Africa,1.0,,,,1.0,,,,,
6,Angola,AGO,2014,Africa,1.0,1.0,,,,,,,,
7,Antigua and Barbuda,ATG,2017,North America,6.0,,,,6.0,,,,,
8,Argentina,ARG,2011,South America,3.0,,,,3.0,,,,,
9,Argentina,ARG,2012,South America,2.0,,1.0,,1.0,,,,,
10,Argentina,ARG,2013,South America,27.0,,11.0,2.0,,1.0,1.0,11.0,1.0,
11,Argentina,ARG,2014,South America,8.0,3.0,,2.0,3.0,,,,,
12,Argentina,ARG,2017,South America,63.0,,3.0,,60.0,,,,,
13,Australia,AUS,2011,Oceania,2.0,,,,2.0,,,,,
14,Australia,AUS,2012,Oceania,7.0,,,2.0,3.0,,,,,2.0
15,Australia,AUS,2013,Oceania,3041.0,,3.0,2578.0,16.0,,7.0,5.0,6.0,426.0
16,Australia,AUS,2014,Oceania,14.0,8.0,1.0,2.0,2.0,,,,,1.0
17,Australia,AUS,2015,Oceania,72.0,,3.0,21.0,48.0,,,,,
18,Australia,AUS,2017,Oceania,12.0,,,1.0,11.0,,,,,
19,Australia,AUS,2018,Oceania,6.0,,5.0,1.0,,,,,,
20,Austria,AUT,2012,Europe,2.0,,,,2.0,,,,,
21,Austria,AUT,2013,Europe,1.0,,1.0,,,,,,,
22,Austria,AUT,2014,Europe,1.0,,,,,,,,,1.0
23,Austria,AUT,2015,Europe,3.0,,1.0,1.0,1.0,,,,,
24,Austria,AUT,2017,Europe,4.0,,,,4.0,,,,,
25,Austria,AUT,2018,Europe,1.0,,1.0,,,,,,,
26,Azerbaijan,AZE,2014,Asia,3.0,1.0,,,2.0,,,,,
27,Bahrain,BHR,2014,Asia,2.0,2.0,,,,,,,,
28,Bahrain,BHR,2017,Asia,1.0,,1.0,,,,,,,
29,Bangladesh,BGD,2013,Asia,653.0,,34.0,,,611.0,,4.0,,4.0
30,Bangladesh,BGD,2014,Asia,4.0,3.0,,1.0,,,,,,
31,Bangladesh,BGD,2015,Asia,2.0,,2.0,,,,,,,
32,Bangladesh,BGD,2017,Asia,31.0,,1.0,10.0,20.0,,,,,
33,Bangladesh,BGD,2018,Asia,4.0,,4.0,,,,,,,
34,Barbados,BRB,2017,North America,1.0,,,,1.0,,,,,
35,Belarus,BLR,2012,Europe,1.0,,,1.0,,,,,,
36,Belgium,BEL,2013,Europe,1.0,,,,,1.0,,,,
37,Belize,BLZ,2011,North America,1.0,,,,1.0,,,,,
38,Belize,BLZ,2013,North America,2.0,,,1.0,1.0,,,,,
39,Belize,BLZ,2014,North America,1.0,1.0,,,,,,,,
40,Benin,BEN,2014,Africa,1.0,1.0,,,,,,,,
41,Bermuda,BMU,2013,North America,1.0,,,,,,,,1.0,
42,Bermuda,BMU,2014,North America,1.0,,,1.0,,,,,,
43,Bermuda,BMU,2015,North America,1.0,,1.0,,,,,,,
44,Bermuda,BMU,2018,North America,1.0,,1.0,,,,,,,
45,Bhutan,BTN,2015,Asia,2.0,,2.0,,,,,,,
46,Bhutan,BTN,2018,Asia,3.0,,3.0,,,,,,,
47,Bolivia,BOL,2011,South America,1.0,,,,1.0,,,,,
48,Bolivia,BOL,2012,South America,1.0,,,,,,,,,1.0
49,Bolivia,BOL,2013,South America,3.0,,,2.0,,,,,,1.0
50,Bolivia,BOL,2014,South America,7.0,,,,6.0,,,,,1.0
51,Bolivia,BOL,2015,South America,1.0,,1.0,,,,,,,
52,Bolivia,BOL,2017,South America,15.0,,1.0,,14.0,,,,,
53,Bolivia,BOL,2018,South America,1.0,,1.0,,,,,,,
54,Bosnia and Herzegovina,BIH,2013,Europe,1.0,,,,,,,1.0,,
55,Brazil,BRA,2012,South America,8.0,,1.0,1.0,5.0,,,,,1.0
56,Brazil,BRA,2013,South America,212.0,,3.0,3.0,6.0,5.0,3.0,180.0,3.0,9.0
57,Brazil,BRA,2014,South America,31.0,2.0,1.0,,28.0,,,,,
58,Brazil,BRA,2015,South America,2.0,,1.0,,1.0,,,,,
59,Brazil,BRA,2017,South America,8.0,,2.0,,6.0,,,,,
